T,N,S,Full_Ret,Full_AnnRet,Full_MaxDD,Full_Calmar,Bull_Ret,Bull_AnnRet,Bull_MaxDD,Bull_Calmar,RobustScore
16,4,100,19.768863330000052,4.436074640790477,-27.266787989108042,0.16269150009757313,42.87454527099999,28.98568944769826,-16.991167583310972,1.7059268767479239,1.0886327260877835
16,5,50,14.847291956000008,3.386971808977113,-28.237372116382954,0.11994642401627863,41.38288741100003,28.02357134671709,-16.45168529547033,1.703386057015865,1.0700102038160304
16,5,100,14.265568955999974,3.260726086931287,-29.05383345762632,0.11223049418545425,40.975560736999995,27.76034115361483,-16.198716502749733,1.713737082126384,1.073134446950012
20,2,50,23.699444798000037,5.250665129063048,-23.30820019823211,0.2252711528306378,40.618241982000015,27.529248466390467,-17.201599837422155,1.600388843280755,1.050341767100708
20,2,100,21.740076548000033,4.847093956833937,-24.03734199823718,0.20164849995433798,39.24704675200002,26.64087265935433,-17.190089743524904,1.5497808945057607,1.0105279366851916
20,3,50,15.812812817,3.595441760875273,-24.51236620995899,0.14667868985306287,35.20693076699999,24.00862461335023,-16.687156726889473,1.4387486739824904,0.9219206803307194
20,3,100,15.179503547999996,3.4588507789435896,-25.25586623188247,0.13695237166631843,35.396643577000006,24.132727696572775,-16.679543329888503,1.446845829005925,0.9228884460700824
20,4,50,11.221648638000037,2.5920567586844134,-26.473072355243488,0.09791295562152642,32.996603542,22.55900774646453,-16.274775781940974,1.386133243783103,0.8708451285184724
20,4,100,11.250486690999995,2.598456553432271,-27.13618523974297,0.09575614739048278,34.06093110199999,23.257889332131487,-16.085115160135167,1.4459261932903715,0.905858174930416
20,5,50,8.766343293999967,2.0424894007412098,-27.31693834131669,0.0747700703212394,31.93580197099999,21.86084454862125,-15.848969915174639,1.3793227361540088,0.857501669820901
20,5,100,9.183814124999978,2.136591464322324,-28.144462054314822,0.07591516441845664,33.37022163400003,22.80452283044987,-15.784467896307842,1.4447444779424015,0.8972127525328235
