date,total_value,return_pct,cummax,drawdown
2025-08-20,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-08-21,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-08-22,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-08-25,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-08-26,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-08-27,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-08-28,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-08-29,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-01,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-02,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-03,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-04,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-05,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-08,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-09,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-10,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-11,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-12,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-09-15,1000030.1000000003,0.0030100000000254923,1000030.1000000003,0.0
2025-09-16,1000209.7000000002,0.020970000000009037,1000209.7000000002,0.0
2025-09-17,1001145.8000000002,0.11458000000001967,1001145.8000000002,0.0
2025-09-18,1000369.5000000002,0.03695000000001336,1001145.8000000002,-0.07754115334648315
2025-09-19,998947.3000000003,-0.10526999999996844,1001145.8000000002,-0.21959838417140443
2025-09-22,1000588.7000000002,0.05887000000002196,1001145.8000000002,-0.05564624053758793
2025-09-23,1005323.7000000002,0.5323700000000153,1005323.7000000002,0.0
2025-09-24,1019473.6000000003,1.9473600000000424,1019473.6000000003,0.0
2025-09-25,1022585.4000000001,2.258540000000009,1022585.4000000001,0.0
2025-09-26,1013855.2000000002,1.385520000000029,1022585.4000000001,-0.853737986088976
2025-09-29,1034325.9000000003,3.4325900000000242,1034325.9000000003,0.0
2025-09-30,1045723.8,4.572379999999998,1045723.8,0.0
2025-10-09,1061973.7,6.197370000000002,1061973.7,0.0
2025-10-10,1021425.4,2.142540000000004,1061973.7,-3.8182019008568657
2025-10-13,1030761.0,3.076100000000004,1061973.7,-2.9391217503785594
2025-10-14,1005358.3,0.5358300000000149,1061973.7,-5.331148972898281
2025-10-15,1011235.6000000001,1.1235600000000012,1061973.7,-4.777717188288166
2025-10-16,1006494.5000000001,0.649450000000007,1061973.7,-5.224159506021653
2025-10-17,988186.8000000002,-1.1813199999999857,1061973.7,-6.948091087378128
2025-10-20,988558.1000000001,-1.1441899999999894,1061973.7,-6.913127886312054
2025-10-21,997784.3999999999,-0.22156000000000953,1061973.7,-6.044339892786432
2025-10-22,990823.5000000001,-0.9176499999999921,1061973.7,-6.699808102592353
2025-10-23,994211.5,-0.5788499999999974,1061973.7,-6.380779486346977
2025-10-24,1006121.2,0.6121199999999938,1061973.7,-5.2593110356687784
2025-10-27,1022082.9999999998,2.2082999999999853,1061973.7,-3.7562794634179886
2025-10-28,1013317.5,1.3317500000000093,1061973.7,-4.581676551876934
2025-10-29,1027945.4000000001,2.794540000000012,1061973.7,-3.204250726736435
2025-10-30,1020606.5000000001,2.0606500000000194,1061973.7,-3.895313038354886
2025-10-31,1000965.0,0.09650000000001047,1061973.7,-5.744840950392649
2025-11-03,1003764.2,0.37641999999999953,1061973.7,-5.481256268399115
2025-11-04,994808.8999999999,-0.5191100000000115,1061973.7,-6.324525739196751
2025-11-05,999377.8999999999,-0.06221000000000698,1061973.7,-5.894289095859917
2025-11-06,1012040.4000000001,1.2040400000000062,1061973.7,-4.701933767286315
2025-11-07,1012420.8999999999,1.2420899999999957,1061973.7,-4.666104254747561
2025-11-10,1010964.3,1.096430000000015,1061973.7,-4.8032639603033385
2025-11-11,1003118.5,0.3118500000000024,1061973.7,-5.542058150780937
2025-11-12,995627.6000000001,-0.4372399999999943,1061973.7,-6.247433434556793
2025-11-13,1012110.2,1.211019999999996,1061973.7,-4.695361099808782
2025-11-14,997667.2,-0.23328000000000237,1061973.7,-6.055375947634111
2025-11-17,999506.5,-0.04935000000000356,1061973.7,-5.88217956810041
2025-11-18,981224.2000000001,-1.8775799999999898,1061973.7,-7.603719376477958
2025-11-19,984332.0000000001,-1.5667999999999904,1061973.7,-7.311075594433259
2025-11-20,975620.7000000001,-2.437929999999988,1061973.7,-8.131368978346632
2025-11-21,949545.2999999999,-5.045470000000007,1061973.7,-10.586740519091952
2025-11-24,949079.3000000002,-5.092069999999982,1061973.7,-10.630621078469249
2025-11-25,956408.4,-4.359159999999996,1061973.7,-9.940481576897797
2025-11-26,956352.9000000003,-4.364709999999972,1061973.7,-9.945707695021044
2025-11-27,955190.1000000002,-4.480989999999974,1061973.7,-10.055201932025227
2025-11-28,960143.1000000001,-3.985689999999986,1061973.7,-9.588806201132838
2025-12-01,970818.4000000001,-2.9181599999999808,1061973.7,-8.583574150659267
2025-12-02,964281.8,-3.5718199999999922,1061973.7,-9.199088452002147
2025-12-03,956892.0,-4.310800000000004,1061973.7,-9.894943726007522
2025-12-04,959651.7000000002,-4.034829999999978,1061973.7,-9.635078533489082
2025-12-05,970522.1000000001,-2.9477899999999946,1061973.7,-8.611475029937166
2025-12-08,984719.3,-1.5280699999999925,1061973.7,-7.274605764719022
2025-12-09,985092.6000000001,-1.4907399999999904,1061973.7,-7.239454235071907
2025-12-10,991644.7000000002,-0.8355299999999843,1061973.7,-6.622480387226137
2025-12-11,975200.0,-2.4800000000000044,1061973.7,-8.170983895363882
2025-12-12,986119.8000000002,-1.3880199999999787,1061973.7,-7.142728675860788
2025-12-15,979835.2,-2.0164800000000094,1061973.7,-7.734513575995338
2025-12-16,967349.7000000001,-3.265029999999991,1061973.7,-8.910201825148768
2025-12-17,981880.1000000003,-1.8119899999999634,1061973.7,-7.541957018332901
2025-12-18,981101.9000000001,-1.8898099999999807,1061973.7,-7.615235669207232
2025-12-19,990180.9000000001,-0.9819099999999858,1061973.7,-6.76031807567361
2025-12-22,1005840.0000000002,0.5840000000000289,1061973.7,-5.2857900341599535
2025-12-23,996417.3000000002,-0.35826999999998277,1061973.7,-6.17307189434162
2025-12-24,1013921.8,1.3921800000000095,1061973.7,-4.5247730711221905
2025-12-25,1028932.7000000002,2.8932700000000144,1061973.7,-3.1112823227166353
2025-12-26,1034460.8000000002,3.446080000000018,1061973.7,-2.5907327083523612
2025-12-29,1036964.8000000002,3.696480000000024,1061973.7,-2.354945324917157
2025-12-30,1035856.5,3.585649999999996,1061973.7,-2.45930760808859
2025-12-31,1051964.2000000002,5.196420000000024,1061973.7,-0.9425374658524777
2026-01-05,1068735.1,6.873510000000005,1068735.1,0.0
2026-01-06,1093317.5,9.331749999999994,1093317.5,0.0
2026-01-07,1091296.5,9.12964999999999,1093317.5,-0.18485023792265132
2026-01-08,1120037.0,12.003699999999995,1120037.0,0.0
2026-01-09,1154369.9,15.436989999999984,1154369.9,0.0
2026-01-12,1226954.9000000001,22.695490000000017,1226954.9000000001,0.0
2026-01-13,1165609.0,16.56089999999999,1226954.9000000001,-4.999849627724718
2026-01-14,1174853.9000000004,17.485390000000045,1226954.9000000001,-4.246366349732966
2026-01-15,1147962.3,14.79623000000001,1226954.9000000001,-6.438101351565573
2026-01-16,1141927.3,14.192730000000008,1226954.9000000001,-6.929969471575525
2026-01-19,1145182.7000000002,14.518270000000012,1226954.9000000001,-6.664645945828973
2026-01-20,1135148.7,13.514870000000002,1226954.9000000001,-7.482442916198484
2026-01-21,1138245.1,13.82451,1226954.9000000001,-7.230078301981601
2026-01-22,1141531.1,14.153110000000012,1226954.9000000001,-6.962260797035002
2026-01-23,1141531.1,14.153110000000012,1226954.9000000001,-6.962260797035002
2026-01-26,1141531.1,14.153110000000012,1226954.9000000001,-6.962260797035002
