date,symbol,side,posi_balance,posi_vwap,price,market_value
2023-08-10 16:00:00,SHSE.512200,多,119500,1.846688690943698,1.896316454161926,226609.81627235014
2023-08-11 16:00:00,SHSE.512200,多,47600,1.846688690943698,1.8907308386857495,89998.78792144168
2023-08-16 16:00:00,SHSE.512200,多,40900,1.8739739656448364,1.8907308386857495,77330.89130224715
2023-08-17 16:00:00,SHSE.512200,多,40900,1.8739739656448364,1.8879380309476612,77216.66546575935
2023-08-18 16:00:00,SHSE.512200,多,40900,1.8739739656448364,1.843253107138249,75389.05208195439
2023-08-21 16:00:00,SHSE.512200,多,40900,1.8739739656448364,1.80973941428119,74018.34204410067
2023-08-28 16:00:00,SHSE.512200,多,45500,1.860010027885437,1.8767667999953082,85392.88939978652
2023-08-29 16:00:00,SHSE.512200,多,80800,1.8880728704504448,1.9465869934475144,157284.22907055917
2023-08-30 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.92145172380472,79548.10136551541
2023-08-31 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.8181178374954547,75270.07847231183
2023-09-01 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.8292890684478078,75732.56743373924
2023-09-04 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.8348746839239842,75963.81191445295
2023-09-05 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.7901897601145722,74113.85606874329
2023-09-06 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.8348746839239842,75963.81191445295
2023-09-07 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.8153250297573664,75154.45623195497
2023-09-08 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.812532222019278,75038.83399159812
2023-09-11 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.7957753755907486,74345.100549457
2023-09-12 16:00:00,SHSE.512200,多,41400,1.8880728704504448,1.7873969523764839,73998.23382838644
2024-01-26 16:00:00,SHSE.512200,多,39300,1.502530574798584,1.4857737166629523,58390.90706485403
2024-01-29 16:00:00,SHSE.512200,多,39300,1.502530574798584,1.4494672160678048,56964.06159146473
2024-04-29 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.3349620988061863,87039.52884216334
2024-04-30 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.2902771749967743,84126.07180978969
2024-05-06 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.3014484059491274,84854.4360678831
2024-05-07 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.3182052523776568,85946.98245502323
2024-05-08 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.2791059440444212,83397.70755169626
2024-05-09 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.3014484059491274,84854.4360678831
2024-05-10 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.3489261374966277,87949.98416478012
2024-05-13 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.3265836755919216,86493.25564859329
2024-05-14 16:00:00,SHSE.512200,多,65200,1.3237909078598022,1.332169291068098,86857.43777763999
2024-05-15 16:00:00,SHSE.512200,多,104800,1.3364544683740338,1.3573045607108924,142245.51796250153
2024-05-16 16:00:00,SHSE.512200,多,97200,1.3364544683740338,1.4075750999964811,136816.29971965795
2024-05-17 16:00:00,SHSE.512200,多,93900,1.3364544683740338,1.5276658327342763,143447.82169374853
2024-05-20 16:00:00,SHSE.512200,多,133300,1.3764619544397363,1.4913593321391287,198798.19897414587
2024-05-21 16:00:00,SHSE.512200,多,180300,1.4056849964771043,1.4885665244010404,268388.5443495076
2024-05-22 16:00:00,SHSE.512200,多,234200,1.4228315060557533,1.5081161785676584,353200.8090205456
2024-05-23 16:00:00,SHSE.512200,多,129600,1.4228315060557533,1.471809677972511,190746.53426523742
2024-05-24 16:00:00,SHSE.512200,多,129600,1.4228315060557533,1.4215391386869223,184231.47237382512
2024-07-30 16:00:00,SHSE.512200,多,40100,1.1729792356491089,1.1757720577351558,47148.45951517975
2024-07-31 16:00:00,SHSE.512200,多,40100,1.1729792356491089,1.2204569815445678,48940.32495993717
2024-08-01 16:00:00,SHSE.512200,多,40100,1.1729792356491089,1.20090732737795,48156.383827855796
2024-08-02 16:00:00,SHSE.512200,多,40100,1.1729792356491089,1.1953217119017736,47932.40064726112
2024-08-05 16:00:00,SHSE.512200,多,99100,1.181292851806048,1.1813576732113322,117072.54541524302
2024-08-06 16:00:00,SHSE.512200,多,99100,1.181292851806048,1.2037001351160383,119286.6833899994
2024-08-07 16:00:00,SHSE.512200,多,99100,1.181292851806048,1.1953217119017736,118456.38164946577
2024-08-08 16:00:00,SHSE.512200,多,185900,1.1917551764882721,1.2148713660683914,225844.58695211395
2024-08-09 16:00:00,SHSE.512200,多,208400,1.1953444714280788,1.231628212496921,256671.3194843583
2024-08-12 16:00:00,SHSE.512200,多,221500,1.1949692459730747,1.191,263806.5
2024-08-13 16:00:00,SHSE.512200,多,181400,1.1949692459730747,1.188,215503.19999999998
2024-08-14 16:00:00,SHSE.512200,多,199400,1.193166601610877,1.177,234693.80000000002
2024-08-15 16:00:00,SHSE.512200,多,199400,1.193166601610877,1.198,238881.19999999998
2024-08-16 16:00:00,SHSE.512200,多,199400,1.193166601610877,1.182,235690.8
2024-08-19 16:00:00,SHSE.512200,多,53600,1.193166601610877,1.179,63194.4
2024-08-20 16:00:00,SHSE.512200,多,53600,1.193166601610877,1.159,62122.4
2024-08-21 16:00:00,SHSE.512200,多,53600,1.193166601610877,1.155,61908.0
2024-08-22 16:00:00,SHSE.512200,多,53600,1.193166601610877,1.15,61639.99999999999
2024-08-23 16:00:00,SHSE.512200,多,31100,1.193166601610877,1.144,35578.399999999994
2024-09-18 16:00:00,SHSE.512200,多,25200,1.1749999523162842,1.169,29458.8
