开盘,收盘,日期
1.18,1.259,2024-12-18
1.235,1.279,2024-12-19
1.278,1.334,2024-12-20
1.338,1.305,2024-12-23
1.309,1.327,2024-12-24
1.328,1.325,2024-12-25
1.317,1.361,2024-12-26
1.356,1.338,2024-12-27
1.332,1.343,2024-12-30
1.347,1.282,2024-12-31
1.275,1.221,2025-01-02
1.229,1.187,2025-01-03
1.187,1.173,2025-01-06
1.178,1.236,2025-01-07
1.217,1.243,2025-01-08
1.23,1.248,2025-01-09
1.239,1.245,2025-01-10
1.226,1.236,2025-01-13
1.238,1.284,2025-01-14
1.276,1.286,2025-01-15
1.294,1.252,2025-01-16
1.234,1.299,2025-01-17
1.304,1.285,2025-01-20
1.288,1.309,2025-01-21
1.3,1.31,2025-01-22
1.327,1.286,2025-01-23
1.277,1.3,2025-01-24
1.305,1.265,2025-01-27
1.293,1.305,2025-02-05
1.293,1.353,2025-02-06
1.353,1.362,2025-02-07
1.363,1.383,2025-02-10
1.383,1.364,2025-02-11
1.361,1.42,2025-02-12
1.413,1.367,2025-02-13
1.347,1.361,2025-02-14
1.363,1.379,2025-02-17
1.377,1.342,2025-02-18
1.34,1.4,2025-02-19
1.399,1.386,2025-02-20
1.394,1.479,2025-02-21
1.467,1.473,2025-02-24
1.436,1.472,2025-02-25
1.473,1.501,2025-02-26
1.501,1.499,2025-02-27
1.481,1.416,2025-02-28
1.414,1.395,2025-03-03
1.367,1.446,2025-03-04
1.444,1.453,2025-03-05
1.467,1.483,2025-03-06
1.471,1.457,2025-03-07
1.449,1.468,2025-03-10
1.436,1.452,2025-03-11
1.457,1.452,2025-03-12
1.455,1.404,2025-03-13
1.405,1.429,2025-03-14
1.429,1.425,2025-03-17
1.441,1.437,2025-03-18
1.433,1.418,2025-03-19
1.424,1.411,2025-03-20
1.401,1.363,2025-03-21
1.362,1.372,2025-03-24
1.367,1.338,2025-03-25
1.34,1.341,2025-03-26
1.33,1.358,2025-03-27
1.352,1.342,2025-03-28
1.338,1.335,2025-03-31
1.342,1.334,2025-04-01
1.33,1.333,2025-04-02
1.319,1.323,2025-04-03
1.231,1.191,2025-04-07
1.196,1.185,2025-04-08
1.148,1.247,2025-04-09
1.27,1.262,2025-04-10
1.262,1.347,2025-04-11
1.4,1.34,2025-04-14
1.34,1.331,2025-04-15
1.33,1.333,2025-04-16
1.322,1.345,2025-04-17
1.337,1.333,2025-04-18
1.333,1.343,2025-04-21
1.343,1.333,2025-04-22
1.333,1.341,2025-04-23
1.341,1.318,2025-04-24
1.311,1.312,2025-04-25
1.304,1.313,2025-04-28
1.312,1.332,2025-04-29
1.332,1.349,2025-04-30
1.352,1.37,2025-05-06
1.391,1.365,2025-05-07
1.363,1.358,2025-05-08
1.352,1.329,2025-05-09
1.333,1.341,2025-05-12
1.348,1.332,2025-05-13
1.333,1.334,2025-05-14
1.334,1.304,2025-05-15
1.304,1.301,2025-05-16
1.301,1.306,2025-05-19
1.31,1.312,2025-05-20
1.311,1.3,2025-05-21
1.299,1.296,2025-05-22
1.296,1.271,2025-05-23
1.271,1.278,2025-05-26
1.278,1.269,2025-05-27
1.272,1.256,2025-05-28
1.26,1.282,2025-05-29
1.278,1.26,2025-05-30
1.26,1.267,2025-06-03
1.27,1.276,2025-06-04
1.277,1.303,2025-06-05
1.306,1.308,2025-06-06
1.302,1.307,2025-06-09
1.311,1.28,2025-06-10
1.28,1.277,2025-06-11
1.277,1.271,2025-06-12
1.266,1.26,2025-06-13
1.26,1.263,2025-06-16
1.263,1.26,2025-06-17
1.26,1.271,2025-06-18
1.264,1.27,2025-06-19
1.27,1.256,2025-06-20
1.243,1.262,2025-06-23
1.259,1.29,2025-06-24
1.288,1.325,2025-06-25
1.324,1.309,2025-06-26
1.316,1.315,2025-06-27
1.314,1.333,2025-06-30
1.329,1.322,2025-07-01
1.322,1.297,2025-07-02
1.297,1.299,2025-07-03
1.299,1.289,2025-07-04
1.29,1.285,2025-07-07
1.291,1.3,2025-07-08
1.302,1.288,2025-07-09
1.285,1.283,2025-07-10
1.287,1.302,2025-07-11
1.302,1.3,2025-07-14
1.296,1.297,2025-07-15
1.297,1.3,2025-07-16
1.296,1.314,2025-07-17
1.317,1.313,2025-07-18
1.308,1.314,2025-07-21
1.314,1.313,2025-07-22
1.31,1.315,2025-07-23
1.315,1.333,2025-07-24
1.333,1.363,2025-07-25
1.364,1.361,2025-07-28
1.358,1.381,2025-07-29
1.385,1.365,2025-07-30
1.365,1.36,2025-07-31
1.363,1.347,2025-08-01
1.345,1.37,2025-08-04
1.373,1.375,2025-08-05
1.375,1.389,2025-08-06
1.387,1.4,2025-08-07
1.391,1.367,2025-08-08
1.367,1.383,2025-08-11
1.384,1.422,2025-08-12
1.422,1.441,2025-08-13
1.444,1.449,2025-08-14
1.446,1.48,2025-08-15
1.501,1.514,2025-08-18
1.512,1.498,2025-08-19
1.49,1.559,2025-08-20
1.56,1.547,2025-08-21
1.565,1.681,2025-08-22
1.718,1.746,2025-08-25
1.705,1.706,2025-08-26
1.714,1.715,2025-08-27
1.712,1.848,2025-08-28
1.839,1.795,2025-08-29
1.812,1.824,2025-09-01
1.825,1.766,2025-09-02
1.756,1.73,2025-09-03
1.73,1.605,2025-09-04
1.605,1.656,2025-09-05
1.662,1.648,2025-09-08
1.626,1.606,2025-09-09
1.602,1.633,2025-09-10
1.633,1.741,2025-09-11
1.741,1.786,2025-09-12
1.934,1.802,2025-09-15
1.795,1.819,2025-09-16
1.812,1.835,2025-09-17
1.841,1.853,2025-09-18
1.851,1.824,2025-09-19
1.806,1.904,2025-09-22
1.896,1.884,2025-09-23
1.867,1.949,2025-09-24
1.948,1.962,2025-09-25
1.95,1.928,2025-09-26
1.928,1.941,2025-09-29
1.965,2.015,2025-09-30
2.07,2.071,2025-10-09
2.012,1.925,2025-10-10
1.773,1.959,2025-10-13
1.968,1.87,2025-10-14
1.862,1.899,2025-10-15
1.885,1.886,2025-10-16
1.875,1.81,2025-10-17
1.834,1.825,2025-10-20
1.831,1.877,2025-10-21
1.856,1.873,2025-10-22
1.861,1.857,2025-10-23
1.866,1.958,2025-10-24
2.013,1.994,2025-10-27
1.972,1.976,2025-10-28
1.977,1.985,2025-10-29
1.985,1.936,2025-10-30
1.93,1.873,2025-10-31
1.866,1.856,2025-11-03
1.863,1.832,2025-11-04
1.795,1.808,2025-11-05
1.825,1.877,2025-11-06
1.85,1.843,2025-11-07
1.845,1.829,2025-11-10
1.831,1.798,2025-11-11
1.79,1.796,2025-11-12
1.798,1.828,2025-11-13
1.795,1.765,2025-11-14
1.762,1.766,2025-11-17
1.763,1.77,2025-11-18
1.767,1.753,2025-11-19
1.775,1.736,2025-11-20
1.692,1.662,2025-11-21
1.664,1.669,2025-11-24
1.684,1.695,2025-11-25
1.686,1.724,2025-11-26
1.733,1.746,2025-11-27
1.743,1.76,2025-11-28
1.762,1.791,2025-12-01
1.791,1.766,2025-12-02
1.766,1.747,2025-12-03
1.739,1.768,2025-12-04
1.766,1.766,2025-12-05
1.775,1.812,2025-12-08
1.8,1.807,2025-12-09
1.791,1.807,2025-12-10
1.812,1.775,2025-12-11
1.772,1.796,2025-12-12
1.779,1.753,2025-12-15
1.747,1.714,2025-12-16
1.713,1.755,2025-12-17
1.743,1.748,2025-12-18
1.767,1.74,2025-12-19
1.743,1.778,2025-12-22
1.779,1.79,2025-12-23
1.791,1.825,2025-12-24
1.825,1.831,2025-12-25
1.825,1.828,2025-12-26
1.835,1.834,2025-12-29
1.834,1.867,2025-12-30
1.87,1.837,2025-12-31
1.85,1.906,2026-01-05
1.905,1.936,2026-01-06
1.96,1.95,2026-01-07
1.939,1.98,2026-01-08
1.963,1.996,2026-01-09
2.001,2.039,2026-01-12
2.039,1.972,2026-01-13
1.989,1.995,2026-01-14
1.99,2.008,2026-01-15
2.028,2.085,2026-01-16
2.086,2.067,2026-01-19
2.067,2.064,2026-01-20
2.046,2.177,2026-01-21
2.22,2.17,2026-01-22
2.15,2.166,2026-01-23
2.149,2.123,2026-01-26
2.118,2.175,2026-01-27
