开盘,收盘,日期
2603.425,2592.666,2022-03-29
2612.715,2696.826,2022-03-30
2683.195,2659.492,2022-03-31
2641.752,2666.969,2022-04-01
2662.281,2633.91,2022-04-06
2611.979,2578.533,2022-04-07
2578.736,2569.911,2022-04-08
2536.149,2462.043,2022-04-11
2461.595,2523.694,2022-04-12
2499.191,2466.841,2022-04-13
2495.165,2466.293,2022-04-14
2443.355,2460.362,2022-04-15
2435.851,2487.774,2022-04-18
2484.516,2453.545,2022-04-19
2440.295,2363.653,2022-04-20
2352.215,2312.456,2022-04-21
2299.156,2296.595,2022-04-22
2240.042,2169.004,2022-04-25
2172.799,2150.513,2022-04-26
2122.318,2269.171,2022-04-27
2249.512,2227.655,2022-04-28
2247.696,2319.137,2022-04-29
2263.92,2288.404,2022-05-05
2227.682,2244.969,2022-05-06
2236.169,2228.073,2022-05-09
2192.058,2276.345,2022-05-10
2280.96,2346.152,2022-05-11
2325.948,2351.271,2022-05-12
2367.546,2358.161,2022-05-13
2376.643,2331.23,2022-05-16
2335.125,2369.089,2022-05-17
2373.889,2365.377,2022-05-18
2329.963,2377.127,2022-05-19
2395.352,2417.349,2022-05-20
2422.127,2410.122,2022-05-23
2404.596,2318.075,2022-05-24
2320.78,2325.597,2022-05-25
2329.434,2321.134,2022-05-26
2340.616,2322.482,2022-05-27
2338.355,2350.385,2022-05-30
2349.789,2405.085,2022-05-31
2403.355,2428.957,2022-06-01
2418.663,2458.256,2022-06-02
2456.162,2554.659,2022-06-06
2555.55,2554.626,2022-06-07
2558.154,2576.335,2022-06-08
2558.326,2500.205,2022-06-09
2482.312,2556.473,2022-06-10
2522.73,2546.488,2022-06-13
2515.511,2548.314,2022-06-14
2560.644,2575.086,2022-06-15
2575.964,2585.471,2022-06-16
2561.396,2657.212,2022-06-17
2672.768,2710.141,2022-06-20
2707.98,2692.985,2022-06-21
2701.628,2677.285,2022-06-22
2693.751,2760.102,2022-06-23
2779.407,2824.44,2022-06-24
2838.58,2830.597,2022-06-27
2827.352,2840.419,2022-06-28
2817.117,2768.61,2022-06-29
2776.393,2810.601,2022-06-30
2810.106,2781.943,2022-07-01
2764.62,2834.689,2022-07-04
2845.74,2825.131,2022-07-05
2826.351,2802.715,2022-07-06
2814.15,2849.706,2022-07-07
2868.689,2817.639,2022-07-08
2804.548,2767.461,2022-07-11
2768.819,2702.693,2022-07-12
2708.096,2746.86,2022-07-13
2739.917,2819.129,2022-07-14
2804.177,2760.499,2022-07-15
2778.404,2800.357,2022-07-18
2799.377,2750.866,2022-07-19
2764.245,2765.162,2022-07-20
2756.317,2751.415,2022-07-21
2776.985,2737.314,2022-07-22
2732.611,2704.945,2022-07-25
2708.736,2713.458,2022-07-26
2710.737,2714.249,2022-07-27
2734.626,2705.901,2022-07-28
2716.101,2670.451,2022-07-29
2662.755,2733.736,2022-08-01
2692.123,2678.621,2022-08-02
2687.248,2628.818,2022-08-03
2644.997,2640.776,2022-08-04
2648.055,2683.602,2022-08-05
2668.987,2675.686,2022-08-08
2668.918,2694.8,2022-08-09
2688.133,2658.585,2022-08-10
2672.176,2721.492,2022-08-11
2712.693,2690.831,2022-08-12
2688.66,2718.593,2022-08-15
2725.927,2731.393,2022-08-16
2739.48,2777.91,2022-08-17
2771.154,2775.821,2022-08-18
2779.991,2734.218,2022-08-19
2730.423,2779.015,2022-08-22
2775.214,2780.306,2022-08-23
2800.378,2679.048,2022-08-24
2688.862,2667.301,2022-08-25
2666.214,2640.291,2022-08-26
2599.84,2630.505,2022-08-29
2630.131,2612.142,2022-08-30
2596.156,2570.415,2022-08-31
2561.935,2533.854,2022-09-01
2548.182,2533.023,2022-09-02
2528.707,2538.204,2022-09-05
2541.122,2540.635,2022-09-06
2525.155,2570.802,2022-09-07
2570.046,2523.006,2022-09-08
2535.745,2548.216,2022-09-09
2566.838,2550.625,2022-09-13
2512.283,2503.824,2022-09-14
2512.453,2424.192,2022-09-15
2418.438,2367.398,2022-09-16
2360.58,2350.376,2022-09-19
2366.787,2366.904,2022-09-20
2353.777,2331.516,2022-09-21
2309.287,2319.419,2022-09-22
2320.918,2303.905,2022-09-23
2288.232,2323.052,2022-09-26
2336.038,2374.737,2022-09-27
2367.481,2313.77,2022-09-28
2343.276,2332.995,2022-09-29
2335.54,2288.969,2022-09-30
2294.715,2236.245,2022-10-10
2256.342,2261.892,2022-10-11
2260.678,2343.3,2022-10-12
2324.466,2350.686,2022-10-13
2379.83,2434.219,2022-10-14
2419.642,2435.023,2022-10-17
2446.358,2446.928,2022-10-18
2440.031,2425.957,2022-10-19
2402.756,2401.716,2022-10-20
2390.413,2395.157,2022-10-21
2385.816,2336.838,2022-10-24
2323.838,2314.551,2022-10-25
2324.766,2372.876,2022-10-26
2377.181,2337.253,2022-10-27
2309.957,2250.51,2022-10-28
2228.618,2265.078,2022-10-31
2270.035,2337.653,2022-11-01
2322.983,2375.862,2022-11-02
2352.56,2376.061,2022-11-03
2378.42,2451.223,2022-11-04
2447.13,2454.694,2022-11-07
2452.857,2432.403,2022-11-08
2422.171,2399.336,2022-11-09
2380.232,2357.125,2022-11-10
2443.113,2405.318,2022-11-11
2406.869,2375.207,2022-11-14
2373.993,2431.733,2022-11-15
2427.406,2402.905,2022-11-16
2389.465,2385.861,2022-11-17
2394.31,2389.76,2022-11-18
2369.763,2387.295,2022-11-21
2380.708,2343.554,2022-11-22
2338.86,2340.337,2022-11-23
2349.271,2335.524,2022-11-24
2325.575,2309.36,2022-11-25
2264.83,2298.802,2022-11-28
2301.212,2339.793,2022-11-29
2335.952,2345.313,2022-11-30
2386.081,2381.183,2022-12-01
2378.4,2383.322,2022-12-02
2391.103,2377.107,2022-12-05
2366.107,2393.281,2022-12-06
