开盘,收盘,日期
0.9043041,0.919963,2023-10-24
0.9277925,0.9258351,2023-10-25
0.9219204,0.9277925,2023-10-26
0.9219204,0.9454088,2023-10-27
0.9454088,0.9512809,2023-10-30
0.9473662,0.9473662,2023-10-31
0.9483448,0.9424728,2023-11-01
0.9434514,0.9307285,2023-11-02
0.9336646,0.9346433,2023-11-03
0.9424728,0.9424728,2023-11-06
0.9395367,0.9336646,2023-11-07
0.9277925,0.9258351,2023-11-08
0.9219204,0.9287711,2023-11-09
0.9248564,0.9228991,2023-11-10
0.9248564,0.9277925,2023-11-13
0.9307285,0.9258351,2023-11-14
0.9356219,0.9434514,2023-11-15
0.9395367,0.9307285,2023-11-16
0.9268138,0.9326859,2023-11-17
0.9346433,0.9346433,2023-11-20
0.9356219,0.9366006,2023-11-21
0.9326859,0.9180056,2023-11-22
0.9160482,0.9219204,2023-11-23
0.9180056,0.9111549,2023-11-24
0.9091975,0.9052827,2023-11-27
0.9043041,0.9082187,2023-11-28
0.9101762,0.9091975,2023-11-29
0.9052827,0.9033254,2023-11-30
0.9023467,0.9033254,2023-12-01
0.9082187,0.9121335,2023-12-04
0.9033254,0.8974532,2023-12-05
0.895496,0.9140909,2023-12-06
0.9121335,0.9091975,2023-12-07
0.9140909,0.9023467,2023-12-08
0.895496,0.8935385,2023-12-11
0.8915812,0.8925598,2023-12-12
0.8896238,0.8759222,2023-12-13
0.8876664,0.8759222,2023-12-14
0.8817943,0.8808156,2023-12-15
0.8759222,0.8680928,2023-12-18
0.8651567,0.864178,2023-12-19
0.8680928,0.864178,2023-12-20
0.8592846,0.8720074,2023-12-21
0.8729862,0.8896238,2023-12-22
0.8837517,0.895496,2023-12-25
0.895496,0.8935385,2023-12-26
0.8935385,0.8974532,2023-12-27
0.8964746,0.9228991,2023-12-28
0.9189844,0.9248564,2023-12-29
0.9248564,0.9248564,2024-01-02
0.9219204,0.9268138,2024-01-03
0.9228991,0.9160482,2024-01-04
0.9140909,0.9111549,2024-01-05
0.9111549,0.8994107,2024-01-08
0.8994107,0.9101762,2024-01-09
0.9072401,0.9052827,2024-01-10
0.9023467,0.9209417,2024-01-11
0.9160482,0.9160482,2024-01-12
0.9160482,0.9062614,2024-01-15
0.9043041,0.9062614,2024-01-16
0.9043041,0.8769009,2024-01-17
0.8710288,0.8769009,2024-01-18
0.8729862,0.8720074,2024-01-19
0.8720074,0.8318815,2024-01-22
0.829924,0.842647,2024-01-23
0.8436257,0.8534124,2024-01-24
0.8534124,0.8778796,2024-01-25
0.8769009,0.8808156,2024-01-26
0.8817943,0.864178,2024-01-29
0.8622206,0.848519,2024-01-30
0.8446043,0.8230733,2024-01-31
0.8172011,0.824052,2024-02-01
0.824052,0.8034996,2024-02-02
0.7927341,0.7829472,2024-02-05
0.7741391,0.824052,2024-02-06
0.826988,0.8573272,2024-02-07
0.8592846,0.8661354,2024-02-08
0.8680928,0.8720074,2024-02-19
0.8680928,0.8769009,2024-02-20
0.8749436,0.885709,2024-02-21
0.882773,0.8935385,2024-02-22
0.8964746,0.9033254,2024-02-23
0.9003893,0.8945172,2024-02-26
0.8915812,0.9023467,2024-02-27
0.9023467,0.8925598,2024-02-28
0.8925598,0.9150696,2024-02-29
0.9140909,0.9248564,2024-03-01
0.9297498,0.9297498,2024-03-04
0.9307285,0.9287711,2024-03-05
0.9297498,0.9336646,2024-03-06
0.9375793,0.9620464,2024-03-07
0.9620464,0.9649825,2024-03-08
0.9669398,0.9767267,2024-03-11
0.9767267,0.957153,2024-03-12
0.954217,0.9640038,2024-03-13
0.9777054,0.9767267,2024-03-14
0.9688972,1.010981,2024-03-15
1.010981,1.012938,2024-03-18
1.008044,1.006087,2024-03-19
1.000215,1.005108,2024-03-20
1.017831,1.009023,2024-03-21
1.002172,0.9835775,2024-03-22
0.9806414,0.9894496,2024-03-25
0.9904282,0.9874921,2024-03-26
0.9874921,0.9737906,2024-03-27
0.9708546,0.991407,2024-03-28
1.000215,1.024682,2024-03-29
1.037405,1.044256,2024-04-01
1.044256,1.055021,2024-04-02
1.064808,1.090254,2024-04-03
1.095147,1.087318,2024-04-08
1.080467,1.091233,2024-04-09
1.095147,1.098083,2024-04-10
1.076553,1.095147,2024-04-11
1.105913,1.105913,2024-04-12
1.092211,1.104934,2024-04-15
1.098083,1.056979,2024-04-16
1.056,1.079489,2024-04-17
1.074595,1.094169,2024-04-18
1.095147,1.087318,2024-04-19
1.09319,1.062851,2024-04-22
1.04132,1.014895,2024-04-23
1.007066,1.024682,2024-04-24
1.017831,1.034469,2024-04-25
